group,x,n,y_emp,y,ymin,ymax,se
Female,1,1,0.20697167755991286,0.15348536054221926,0.10900924716813848,0.21179435033647215,0.2007072747057061
Female,2,1,0.09340659340659341,0.13211445444487585,0.10004760872318812,0.17248931363993392,0.16036237701730344
Female,3,1,0.09696969696969697,0.11650957535063684,0.09174535595761467,0.14687727098340322,0.1360233783541076
Female,4,1,0.0738255033557047,0.10522901619380384,0.08434004105122613,0.1305540215617255,0.12467556488911485
Female,5,1,0.10144927536231885,0.09723640844091833,0.07799541295311384,0.12060315523633068,0.12325975471189266
Female,6,1,0.056451612903225805,0.09179382088841619,0.07283351537290017,0.11507732690756634,0.12858934331359512
Female,7,1,0.0641025641025641,0.08837652844827946,0.06896952449140115,0.11258402857698756,0.13725081402011985
Female,8,1,0.1095890410958904,0.08660924887484066,0.06654418863174126,0.1119986025618704,0.1455487166019825
Female,9,1,0.08717948717948718,0.0863973035238526,0.06576177806022888,0.11272677708670174,0.1506422313685381
Female,10,1,0.07865168539325842,0.08842101424696637,0.06697981834129985,0.11587343623373457,0.15355735755903074
Female,11,1,0.10975609756097561,0.09226104574914545,0.06984139206807374,0.1209418302982129,0.1544892903652844
Female,12,1,0.0821917808219178,0.09731064102628612,0.0738457544593441,0.12720752532606225,0.15387636631634016
Female,13,1,0.09701492537313433,0.10287259581620774,0.07840512532042564,0.13386641358862916,0.15230373358757862
Female,14,1,0.19834710743801653,0.10810202510492888,0.08277324463208485,0.13999846263670865,0.15049947695692167
Female,15,1,0.08247422680412371,0.11200612364750648,0.08603217533292494,0.14458135987116136,0.14932045209276998
Female,16,1,0.0898876404494382,0.11351354106719054,0.08715899133923773,0.14655758519073075,0.1497395219029444
Female,17,1,0.12345679012345678,0.11258048099376643,0.0855242515352238,0.1468219044931556,0.1555648418204095
Female,18,1,0.14084507042253522,0.11038214166389633,0.08309057196956027,0.14521807265889505,0.16032632293463342
Female,19,1,0.08196721311475409,0.10768903657559206,0.0804872069276637,0.14265783469808488,0.16386974730462275
Female,20,1,0.08928571428571429,0.10522607129649142,0.07827855439386708,0.14004086337236576,0.16607926899570055
Female,21,1,0.0784313725490196,0.1036637028364326,0.07696587026406208,0.1382355151682355,0.1669114799975886
Female,22,1,0.1276595744680851,0.103649309566899,0.07702018186981366,0.13810761378569128,0.1664425098094994
Female,23,1,0.07317073170731707,0.10587698580274825,0.07894056195544946,0.1406016868697084,0.16493360469393525
Female,24,1,0.21052631578947367,0.11096028861871764,0.08346043818135077,0.146077074692133,0.16085141490254268
Female,25,1,0.06666666666666667,0.11824949777796882,0.09091592982349206,0.15242297004327066,0.1496915192305991
Female,26,1,0.14285714285714285,0.12795332192334855,0.10100475920672408,0.16080579582445914,0.1361926436606416
Female,27,1,0.16666666666666666,0.1406151925294892,0.1134092763198551,0.1730735281073125,0.12560970868906962
Female,28,1,0.1,0.15694002153039352,0.12762528910986654,0.19150999799964258,0.12293394451259163
Female,29,1,0.1111111111111111,0.17782455872634648,0.1429361417131747,0.21905219698643547,0.1326341183678595
Female,30,1,0.25,0.2043767460172134,0.15837729600354183,0.25961516528229145,0.15877383232152234
Male,1,1,0.15517241379310345,0.11105376861484122,0.08497920851123623,0.143870955280389,0.1512874235880075
Male,2,1,0.07020408163265306,0.09893183221135149,0.08011403380336395,0.12158547893452466,0.11819033865455353
Male,3,1,0.06672519754170325,0.08998825379057507,0.07561214757053394,0.10678193952281798,0.09680607775196008
Male,4,1,0.06491063029162747,0.08352914825266047,0.07170390640232568,0.09710058980325299,0.08442548422930365
Male,5,1,0.06841046277665996,0.0790558027705251,0.06854428183147969,0.09102178194985237,0.07858470238505903
Male,6,1,0.07667386609071274,0.07621382066866077,0.06624104175359641,0.08754725912929186,0.07703216852882527
Male,7,1,0.07017543859649122,0.0747552752578224,0.06488181790915522,0.08599306655098707,0.07768867360131425
Male,8,1,0.06415094339622641,0.07451107812872343,0.06455848192344706,0.08585718184658493,0.07861000171115605
Male,9,1,0.08064516129032258,0.07549294383493561,0.06532355067003817,0.08709795508983369,0.07940263798746708
Male,10,1,0.07894736842105263,0.07824437402074727,0.06770574796018348,0.09026455192420571,0.0796107459638143
Male,11,1,0.08888888888888889,0.08255051433446861,0.07164396178188227,0.09494759005593266,0.07832762458020148
Male,12,1,0.09233449477351917,0.08805729464309793,0.07680334707820197,0.10078026036821763,0.0760241328596706
Male,13,1,0.09404990403071017,0.09433761669418737,0.0827709063510522,0.10733155802025064,0.07321260388996786
Male,14,1,0.09745762711864407,0.10084101862163915,0.08899059785354316,0.1140719025493934,0.07046447753955741
Male,15,1,0.12206572769953052,0.10687085970333109,0.09473043678942868,0.1203603064545729,0.06841320147515778
Male,16,1,0.08823529411764706,0.11159922452169303,0.09909710297942458,0.1254589681407598,0.06775043269784546
Male,17,1,0.12023460410557185,0.11422066786698892,0.09934635026574787,0.13099808186196327,0.07968153897863196
Male,18,1,0.13,0.11494900533897584,0.09841703981124654,0.13384572282865145,0.08866562868658122
Male,19,1,0.13409961685823754,0.11449555062167915,0.09687797684948267,0.13483859917053717,0.09529967986927572
Male,20,1,0.09734513274336283,0.11361059374471022,0.09532443941357303,0.13488159556311932,0.09995619903456993
Male,21,1,0.10784313725490197,0.11303777046163313,0.09432838747272904,0.13490527255775947,0.1029683305193167
Male,22,1,0.16483516483516483,0.11351056411055048,0.09443631582746535,0.1358594309278592,0.1047257019978661
Male,23,1,0.09210526315789473,0.11579087827288347,0.09619982275419671,0.1387591100326989,0.10575345897682226
Male,24,1,0.10869565217391304,0.12051355763759225,0.10040262100749221,0.14400792470047596,0.10468718039104687
Male,25,1,0.11382113821138211,0.127014570352325,0.1070993382385001,0.15001089816003504,0.09852297185152475
Male,26,1,0.14678899082568808,0.1354766495007571,0.11590762202932173,0.15776001691571476,0.09101648214950209
Male,27,1,0.11827956989247312,0.14638949700386863,0.1266244102341047,0.16864402963736616,0.08568332959247996
Male,28,1,0.1951219512195122,0.16037576983370866,0.13897483956968576,0.18436659929405746,0.08591790340713913
Male,29,1,0.10606060606060606,0.17822593917092602,0.15262371163914631,0.20707337565317127,0.09477518008001767
